"",index,raw name,mz_time,Peak.Id,mz,rt,Compound,exact_mass,Add.name
"239",239,206.078516301255 / 776.100006103516,206.0785 / 776.1,206.078516301255 / 776.100006103516,206.0785,776.1,C08752,410.1577,M+2H
"240",240,206.097686711771 / 280.799987792969,206.0977 / 280.8,206.097686711771 / 280.799987792969,206.0977,280.8,C08093,410.1818,M+2H
"241",241,206.099976373502 / 331.799987792969,206.1 / 331.8,206.099976373502 / 331.799987792969,206.1,331.8,C08093,410.1818,M+2H
"242",242,206.132425253982 / 675,206.1324 / 675,206.132425253982 / 675,206.1324,675,C03641,410.2668,M+2H
"243",243,206.633499028306 / 674.757507324219,206.6335 / 674.8,206.633499028306 / 674.757507324219,206.6335,674.8,C10341,411.2257,M+2H
"244",244,207.08241634016 / 776.099975585938,207.0824 / 776.1,207.08241634016 / 776.099975585938,207.0824,776.1,C07006,412.1697,M+2H
"245",245,207.101994182676 / 846.600036621094,207.102 / 846.6,207.101994182676 / 846.600036621094,207.102,846.6,C07006,412.1697,M+2H
"246",246,208.037460046189 / 39,208.0375 / 39,208.037460046189 / 39,208.0375,39,C04712,414.0733,M+2H
"247",247,208.062652499224 / 73.5,208.0627 / 73.5,208.062652499224 / 73.5,208.0627,73.5,C06667,414.1387,M+2H
"248",248,208.094241529699 / 683.162963867188,208.0942 / 683.2,208.094241529699 / 683.162963867188,208.0942,683.2,C06958,414.1613,M+2H
"249",249,209.089357599124 / 127.500015258789,209.0894 / 127.5,209.089357599124 / 127.500015258789,209.0894,127.5,C09158,416.1624,M+2H
"250",250,209.094102972127 / 1034.84460449219,209.0941 / 1034.8,209.094102972127 / 1034.84460449219,209.0941,1034.8,C07310,416.2021,M+2H
"251",251,209.114437664474 / 1177.80004882812,209.1144 / 1177.8,209.114437664474 / 1177.80004882812,209.1144,1177.8,C07310,416.2021,M+2H
"252",252,209.151376649235 / 1387.5,209.1514 / 1387.5,209.151376649235 / 1387.5,209.1514,1387.5,C14634,416.2927,M+2H
"253",253,209.151452107261 / 1053.00012207031,209.1515 / 1053,209.151452107261 / 1053.00012207031,209.1515,1053,C14634,416.2927,M+2H
"254",254,210.058968223104 / 61.5,210.059 / 61.5,210.058968223104 / 61.5,210.059,61.5,C06435,418.089,M+2H
"255",255,210.073217625909 / 601.800048828125,210.0732 / 601.8,210.073217625909 / 601.800048828125,210.0732,601.8,C06446,418.1376,M+2H
"256",256,210.089125147163 / 766.799987792969,210.0891 / 766.8,210.089125147163 / 766.799987792969,210.0891,766.8,C07267,418.174,M+2H
"257",257,211.070821001656 / 118.800003051758,211.0708 / 118.8,211.070821001656 / 118.800003051758,211.0708,118.8,C10106,420.1573,M+2H
"258",258,211.054832451726 / 331.800018310547,211.0548 / 331.8,211.054832451726 / 331.800018310547,211.0548,331.8,C08560,420.0805,M+2H
"259",259,211.141346015515 / 646.5,211.1413 / 646.5,211.141346015515 / 646.5,211.1413,646.5,C08638,420.2664,M+2H
"260",260,212.100641788923 / 53.0999984741211,212.1006 / 53.1,212.100641788923 / 53.0999984741211,212.1006,53.1,C02010,422.2026,M+2H
"261",261,213.095467906977 / 184.800003051758,213.0955 / 184.8,213.095467906977 / 184.800003051758,213.0955,184.8,C01674,424.1693,M+2H
"262",262,213.120708362886 / 50.7000007629395,213.1207 / 50.7,213.120708362886 / 50.7000007629395,213.1207,50.7,C01844,424.2461,M+2H
"263",263,214.032729035878 / 135.636291503906,214.0327 / 135.6,214.032729035878 / 135.636291503906,214.0327,135.6,C17388,426.0322,M+2H
"264",264,214.086417636201 / 1.79999995231628,214.0864 / 1.8,214.086417636201 / 1.79999995231628,214.0864,1.8,C09116,426.1679,M+2H
"265",265,214.086343358887 / 30,214.0863 / 30,214.086343358887 / 30,214.0863,30,C09116,426.1679,M+2H
"266",266,214.093188549014 / 519,214.0932 / 519,214.093188549014 / 519,214.0932,519,C09116,426.1679,M+2H
"267",267,214.213903900495 / 1575.59997558594,214.2139 / 1575.6,214.213903900495 / 1575.59997558594,214.2139,1575.6,C01054,426.3862,M+2H
"268",268,215.014113150069 / 64.5991630554199,215.0141 / 64.6,215.014113150069 / 64.5991630554199,215.0141,64.6,C00104,428.0134,M+2H
"269",269,215.136385711203 / 68.1000061035156,215.1364 / 68.1,215.136385711203 / 68.1000061035156,215.1364,68.1,C19798,428.2715,M+2H
"270",270,216.111117438793 / 683.099975585938,216.1111 / 683.1,216.111117438793 / 683.099975585938,216.1111,683.1,C09123,430.1992,M+2H
"271",271,216.110852077341 / 290.586120605469,216.1109 / 290.6,216.110852077341 / 290.586120605469,216.1109,290.6,C09123,430.1992,M+2H
"272",272,217.095497810658 / 495.600006103516,217.0955 / 495.6,217.095497810658 / 495.600006103516,217.0955,495.6,C02008,432.1937,M+2H
"273",273,217.117203289983 / 765,217.1172 / 765,217.117203289983 / 765,217.1172,765,C02008,432.1937,M+2H
"274",274,217.115672674948 / 105.599998474121,217.1157 / 105.6,217.115672674948 / 105.599998474121,217.1157,105.6,C02008,432.1937,M+2H
"275",275,217.115570667603 / 84,217.1156 / 84,217.115570667603 / 84,217.1156,84,C02008,432.1937,M+2H
"276",276,217.118318959472 / 715.499938964844,217.1183 / 715.5,217.118318959472 / 715.499938964844,217.1183,715.5,C02008,432.1937,M+2H
"277",277,217.145115242783 / 55.2000007629395,217.1451 / 55.2,217.145115242783 / 55.2000007629395,217.1451,55.2,C16146,432.3028,M+2H
"278",278,217.619595306132 / 764.700012207031,217.6196 / 764.7,217.619595306132 / 764.700012207031,217.6196,764.7,C07908,433.2101,M+2H
"279",279,218.112210932297 / 66.1467132568359,218.1122 / 66.1,218.112210932297 / 66.1467132568359,218.1122,66.1,C03019,434.2305,M+2H
"280",280,218.12633824877 / 253.799995422363,218.1263 / 253.8,218.12633824877 / 253.799995422363,218.1263,253.8,C03019,434.2305,M+2H
"281",281,218.130123083662 / 866.400024414062,218.1301 / 866.4,218.130123083662 / 866.400024414062,218.1301,866.4,C03019,434.2305,M+2H
"282",282,218.1213640818 / 105.3151512146,218.1214 / 105.3,218.1213640818 / 105.3151512146,218.1214,105.3,C03019,434.2305,M+2H
"283",283,218.137035457889 / 91.1999969482422,218.137 / 91.2,218.137035457889 / 91.1999969482422,218.137,91.2,C03019,434.2305,M+2H
"284",284,218.139503884639 / 152.699996948242,218.1395 / 152.7,218.139503884639 / 152.699996948242,218.1395,152.7,C03630,434.2433,M+2H
"285",285,218.13004664842 / 765.899993896484,218.13 / 765.9,218.13004664842 / 765.899993896484,218.13,765.9,C03019,434.2305,M+2H
"286",286,218.153567431794 / 54.9000015258789,218.1536 / 54.9,218.153567431794 / 54.9000015258789,218.1536,54.9,C17987,417.2587,M+H+NH4
"287",287,218.256914236234 / 253.800003051758,218.2569 / 253.8,218.256914236234 / 253.800003051758,218.2569,253.8,C14509,200.214,M+NH4
"288",288,218.405910952947 / 253.800003051758,218.4059 / 253.8,218.405910952947 / 253.800003051758,218.4059,253.8,C18959,393.7978,M+ACN+2H
"289",289,219.120660937112 / 692.099975585938,219.1207 / 692.1,219.120660937112 / 692.099975585938,219.1207,692.1,C09532,436.2097,M+2H
"290",290,219.129457873617 / 253.799987792969,219.1295 / 253.8,219.129457873617 / 253.799987792969,219.1295,253.8,C03805,436.259,M+2H
"291",291,219.139983210185 / 91.1999969482422,219.14 / 91.2,219.139983210185 / 91.1999969482422,219.14,91.2,C03805,436.259,M+2H
"292",292,219.167955426387 / 50.6999969482422,219.168 / 50.7,219.167955426387 / 50.6999969482422,219.168,50.7,C13309,436.3341,M+2H
"293",293,220.05862936803 / 593.399963378906,220.0586 / 593.4,220.05862936803 / 593.399963378906,220.0586,593.4,C16071,438.094,M+2H
"294",294,220.062104046458 / 101.699996948242,220.0621 / 101.7,220.062104046458 / 101.699996948242,220.0621,101.7,C16071,438.094,M+2H
"295",295,220.115526946361 / 169.800003051758,220.1155 / 169.8,220.115526946361 / 169.800003051758,220.1155,169.8,C07398,438.2155,M+2H
"296",296,220.133236150148 / 843,220.1332 / 843,220.133236150148 / 843,220.1332,843,C09229,438.2783,M+2H
"297",297,220.171565453106 / 50.6904792785645,220.1716 / 50.7,220.171565453106 / 50.6904792785645,220.1716,50.7,C21084,438.3498,M+2H
"298",298,221.089760371239 / 93.75,221.0898 / 93.8,221.089760371239 / 93.75,221.0898,93.8,C07468,440.1597,M+2H
"299",299,221.118609368567 / 169.605476379395,221.1186 / 169.6,221.118609368567 / 169.605476379395,221.1186,169.6,C07965,440.2345,M+2H
"300",300,221.136884474943 / 843,221.1369 / 843,221.136884474943 / 843,221.1369,843,C07965,440.2345,M+2H
"301",301,222.077410927949 / 88.7999954223633,222.0774 / 88.8,222.077410927949 / 88.7999954223633,222.0774,88.8,C02822,442.1661,M+2H
"302",302,223.017968679923 / 72.9000015258789,223.018 / 72.9,223.017968679923 / 72.9000015258789,223.018,72.9,C01337,444.0083,M+2H
"303",303,223.094407542482 / 1141.80004882812,223.0944 / 1141.8,223.094407542482 / 1141.80004882812,223.0944,1141.8,C06570,444.1533,M+2H
"304",304,223.094201028301 / 602.834777832031,223.0942 / 602.8,223.094201028301 / 602.834777832031,223.0942,602.8,C06570,444.1533,M+2H
"305",305,223.097767231232 / 181.799987792969,223.0978 / 181.8,223.097767231232 / 181.799987792969,223.0978,181.8,C06570,444.1533,M+2H
"306",306,223.130044551742 / 1191.59997558594,223.13 / 1191.6,223.130044551742 / 1191.59997558594,223.13,1191.6,C04590,444.2641,M+2H
"307",307,224.075639055896 / 92.0999946594238,224.0756 / 92.1,224.075639055896 / 92.0999946594238,224.0756,92.1,C05376,446.1213,M+2H
"308",308,224.068930963929 / 123,224.0689 / 123,224.068930963929 / 123,224.0689,123,C05376,446.1213,M+2H
"309",309,225.108020369489 / 652.5,225.108 / 652.5,225.108020369489 / 652.5,225.108,652.5,C04300,448.2097,M+2H
"310",310,225.193891927557 / 1203.97668457031,225.1939 / 1204,225.193891927557 / 1203.97668457031,225.1939,1204,C15791,448.3553,M+2H
"311",311,226.068510795171 / 320.400024414062,226.0685 / 320.4,226.068510795171 / 320.400024414062,226.0685,320.4,C09478,450.1526,M+2H
"312",312,227.100209650487 / 157.5,227.1002 / 157.5,227.100209650487 / 157.5,227.1002,157.5,C07349,452.1848,M+2H
"313",313,227.090455638166 / 863.100036621094,227.0905 / 863.1,227.090455638166 / 863.100036621094,227.0905,863.1,C07349,452.1848,M+2H
"314",314,227.122947567188 / 48.9000015258789,227.1229 / 48.9,227.122947567188 / 48.9000015258789,227.1229,48.9,C07872,452.2464,M+2H
"315",315,227.125459758857 / 869.987091064453,227.1255 / 870,227.125459758857 / 869.987091064453,227.1255,870,C07670,452.2675,M+2H
"316",316,227.160770094287 / 1053.00012207031,227.1608 / 1053,227.160770094287 / 1053.00012207031,227.1608,1053,C16889,435.3115,M+H+NH4
"317",317,227.171270506938 / 74.4388275146484,227.1713 / 74.4,227.171270506938 / 74.4388275146484,227.1713,74.4,C16890,452.3502,M+2H
"318",318,228.125383067767 / 48.8999977111816,228.1254 / 48.9,228.125383067767 / 48.8999977111816,228.1254,48.9,C09180,454.2567,M+2H
"319",319,228.111402849629 / 527.100036621094,228.1114 / 527.1,228.111402849629 / 527.100036621094,228.1114,527.1,C01759,454.2275,M+2H
"320",320,228.229601545209 / 1630.80004882812,228.2296 / 1630.8,228.229601545209 / 1630.80004882812,228.2296,1630.8,C19661,372.3756,M+2ACN+2H
"321",321,229.116171586389 / 52.5,229.1162 / 52.5,229.116171586389 / 52.5,229.1162,52.5,C01626,456.226,M+2H
"322",322,229.115597958456 / 318.150009155273,229.1156 / 318.2,229.115597958456 / 318.150009155273,229.1156,318.2,C01626,456.226,M+2H
"323",323,229.14101898171 / 850.5,229.141 / 850.5,229.14101898171 / 850.5,229.141,850.5,C05427,456.2406,M+2H
"324",324,229.152597385167 / 64.5,229.1526 / 64.5,229.152597385167 / 64.5,229.1526,64.5,C16891,456.324,M+2H
"325",325,229.152610238768 / 86.7000045776367,229.1526 / 86.7,229.152610238768 / 86.7000045776367,229.1526,86.7,C16891,456.324,M+2H
"326",326,229.286279731801 / 86.7000045776367,229.2863 / 86.7,229.286279731801 / 86.7000045776367,229.2863,86.7,C01387,114.1409,2M+H
"327",327,229.286002389122 / 63.9089775085449,229.286 / 63.9,229.286002389122 / 63.9089775085449,229.286,63.9,C01387,114.1409,2M+H
"328",328,229.375562974601 / 86.6999969482422,229.3756 / 86.7,,,,,,
"329",329,229.437236414649 / 86.7000045776367,229.4372 / 86.7,,,,,,
"330",330,229.579910014823 / 1714.80002441406,229.5799 / 1714.8,229.579910014823 / 1714.80002441406,229.5799,1714.8,C00143,457.171,M+2H
"331",331,230.137095025304 / 111.900001525879,230.1371 / 111.9,230.137095025304 / 111.900001525879,230.1371,111.9,C08182,458.2668,M+2H
"332",332,230.1552913263 / 86.6999969482422,230.1553 / 86.7,230.1552913263 / 86.6999969482422,230.1553,86.7,C08182,458.2668,M+2H
"333",333,230.156819821691 / 64.3012351989746,230.1568 / 64.3,230.156819821691 / 64.3012351989746,230.1568,64.3,C08182,458.2668,M+2H
"334",334,230.183854614756 / 210,230.1839 / 210,230.183854614756 / 210,230.1839,210,C08980,458.376,M+2H
"335",335,230.988220951976 / 64.5,230.9882 / 64.5,230.988220951976 / 64.5,230.9882,64.5,C18861,459.9816,M+2H
"336",336,231.066677745665 / 249.900024414062,231.0667 / 249.9,231.066677745665 / 249.900024414062,231.0667,249.9,C06624,460.1482,M+2H
"337",337,231.081982950826 / 171.596878051758,231.082 / 171.6,231.081982950826 / 171.596878051758,231.082,171.6,C07701,460.1765,M+2H
"338",338,231.131581528079 / 132.165084838867,231.1316 / 132.2,231.131581528079 / 132.165084838867,231.1316,132.2,C08719,460.2614,M+2H
"339",339,231.130738906535 / 257.111602783203,231.1307 / 257.1,231.130738906535 / 257.111602783203,231.1307,257.1,C08719,460.2614,M+2H
"340",340,231.139153045606 / 1060.20007324219,231.1392 / 1060.2,231.139153045606 / 1060.20007324219,231.1392,1060.2,C08719,460.2614,M+2H
"341",341,231.14745027352 / 64.3926620483398,231.1475 / 64.4,231.14745027352 / 64.3926620483398,231.1475,64.4,C08719,460.2614,M+2H
"342",342,231.156145652428 / 849.299987792969,231.1561 / 849.3,231.156145652428 / 849.299987792969,231.1561,849.3,C13422,460.2825,M+2H
"343",343,232.105497424272 / 519,232.1055 / 519,232.105497424272 / 519,232.1055,519,C11640,462.2101,M+2H
"344",344,232.114923523369 / 640.799987792969,232.1149 / 640.8,232.114923523369 / 640.799987792969,232.1149,640.8,C11640,462.2101,M+2H
"345",345,232.127221490945 / 89.9457206726074,232.1272 / 89.9,232.127221490945 / 89.9457206726074,232.1272,89.9,C15538,462.2618,M+2H
"346",346,232.152300253518 / 192.899993896484,232.1523 / 192.9,232.152300253518 / 192.899993896484,232.1523,192.9,C02513,462.2981,M+2H
"347",347,232.240654530378 / 519,232.2407 / 519,232.240654530378 / 519,232.2407,519,C16640,214.1933,M+NH4
"348",348,232.286653696201 / 193.150695800781,232.2867 / 193.2,,,,,,
"349",349,232.439820228598 / 193.199981689453,232.4398 / 193.2,232.439820228598 / 193.199981689453,232.4398,193.2,C16860,421.8629,M+ACN+2H
"350",350,233.108664531397 / 519,233.1087 / 519,233.108664531397 / 519,233.1087,519,C02808,464.2132,M+2H
"351",351,233.110518917951 / 102.599998474121,233.1105 / 102.6,233.110518917951 / 102.599998474121,233.1105,102.6,C02808,464.2132,M+2H
"352",352,233.115250513824 / 88.5,233.1153 / 88.5,233.115250513824 / 88.5,233.1153,88.5,C02808,464.2132,M+2H
"353",353,233.121689043274 / 52.5,233.1217 / 52.5,233.121689043274 / 52.5,233.1217,52.5,C02808,464.2132,M+2H
"354",354,233.155326316608 / 192.900009155273,233.1553 / 192.9,233.155326316608 / 192.900009155273,233.1553,192.9,C00477,464.3138,M+2H
"355",355,234.084497897765 / 731.400024414062,234.0845 / 731.4,234.084497897765 / 731.400024414062,234.0845,731.4,C08600,466.1264,M+2H
"356",356,234.09508147257 / 174.600006103516,234.0951 / 174.6,234.09508147257 / 174.600006103516,234.0951,174.6,C02079,466.2005,M+2H
"357",357,234.121750882202 / 114.900001525879,234.1218 / 114.9,234.121750882202 / 114.900001525879,234.1218,114.9,C11135,466.2567,M+2H
"358",358,235.129178759899 / 1921.80004882812,235.1292 / 1921.8,235.129178759899 / 1921.80004882812,235.1292,1921.8,C01917,468.2431,M+2H
"359",359,235.166811719954 / 1612.80004882812,235.1668 / 1612.8,235.166811719954 / 1612.80004882812,235.1668,1612.8,C02943,468.324,M+2H
"360",360,235.177992636542 / 591,235.178 / 591,235.177992636542 / 591,235.178,591,C02785,468.3603,M+2H
"361",361,235.19138776755 / 2065.19995117188,235.1914 / 2065.2,235.19138776755 / 2065.19995117188,235.1914,2065.2,C02785,468.3603,M+2H
"362",362,235.191292327438 / 1977.90002441406,235.1913 / 1977.9,235.191292327438 / 1977.90002441406,235.1913,1977.9,C02785,468.3603,M+2H
"363",363,235.313574201877 / 591,235.3136 / 591,,,,,,
"364",364,235.403832757369 / 591,235.4038 / 591,,,,,,
"365",365,235.465242073855 / 591,235.4652 / 591,,,,,,
"366",366,235.640745374582 / 591,235.6407 / 591,235.640745374582 / 591,235.6407,591,C07670,452.2675,M+H+NH4
"367",367,236.162061783418 / 552.900024414062,236.1621 / 552.9,236.162061783418 / 552.900024414062,236.1621,552.9,C02283,470.3396,M+2H
"368",368,236.181360041561 / 591,236.1814 / 591,236.181360041561 / 591,236.1814,591,C13044,470.3607,M+2H
"369",369,237.099540799078 / 1031.09997558594,237.0995 / 1031.1,237.099540799078 / 1031.09997558594,237.0995,1031.1,C00664,472.1819,M+2H
"370",370,237.121286995048 / 231,237.1213 / 231,237.121286995048 / 231,237.1213,231,C02027,472.2097,M+2H
"371",371,237.145697013314 / 1128.00012207031,237.1457 / 1128,237.145697013314 / 1128.00012207031,237.1457,1128,C03577,455.2342,M+H+NH4
"372",372,237.188708317338 / 1977.90002441406,237.1887 / 1977.9,237.188708317338 / 1977.90002441406,237.1887,1977.9,C08808,472.3553,M+2H
"373",373,237.184408192039 / 591,237.1844 / 591,237.184408192039 / 591,237.1844,591,C08808,472.3553,M+2H
"374",374,238.09181822169 / 236.281105041504,238.0918 / 236.3,238.09181822169 / 236.281105041504,238.0918,236.3,C07340,474.1922,M+2H
"375",375,239.104061943972 / 952.200012207031,239.1041 / 952.2,239.104061943972 / 952.200012207031,239.1041,952.2,C07080,476.2231,M+2H
"376",376,239.136449755795 / 806.399963378906,239.1364 / 806.4,239.136449755795 / 806.399963378906,239.1364,806.4,C09420,476.2675,M+2H
"377",377,239.964127616775 / 40.2000007629395,239.9641 / 40.2,239.964127616775 / 40.2000007629395,239.9641,40.2,C06598,197.9406,M+ACN+H
"378",378,240.095797688057 / 450.299987792969,240.0958 / 450.3,240.095797688057 / 450.299987792969,240.0958,450.3,C08184,478.2003,M+2H
"379",379,240.105344137508 / 64.4819412231445,240.1053 / 64.5,240.105344137508 / 64.4819412231445,240.1053,64.5,C08184,478.2003,M+2H
"380",380,241.091063618463 / 109.499992370605,241.0911 / 109.5,241.091063618463 / 109.499992370605,241.0911,109.5,C08751,480.1632,M+2H
"381",381,241.104837414141 / 1141.80004882812,241.1048 / 1141.8,241.104837414141 / 1141.80004882812,241.1048,1141.8,C08751,480.1632,M+2H
"382",382,241.152733266889 / 78.8944854736328,241.1527 / 78.9,241.152733266889 / 78.8944854736328,241.1527,78.9,C02633,480.3087,M+2H
"383",383,241.152643169004 / 66.3473815917969,241.1526 / 66.3,241.152643169004 / 66.3473815917969,241.1526,66.3,C02633,480.3087,M+2H
"384",384,241.152784358687 / 93.6000061035156,241.1528 / 93.6,241.152784358687 / 93.6000061035156,241.1528,93.6,C02633,480.3087,M+2H
"385",385,241.171440234609 / 1410.30004882812,241.1714 / 1410.3,241.171440234609 / 1410.30004882812,241.1714,1410.3,C02633,480.3087,M+2H
"386",386,241.168218683328 / 517.5,241.1682 / 517.5,241.168218683328 / 517.5,241.1682,517.5,C02633,480.3087,M+2H
"387",387,242.173286289174 / 1410.00012207031,242.1733 / 1410,242.173286289174 / 1410.00012207031,242.1733,1410,C19892,482.3549,M+2H
"388",388,243.131859709845 / 541.200012207031,243.1319 / 541.2,243.131859709845 / 541.200012207031,243.1319,541.2,C12150,484.2825,M+2H
"389",389,243.131273275326 / 604.799987792969,243.1313 / 604.8,243.131273275326 / 604.799987792969,243.1313,604.8,C12150,484.2825,M+2H
"390",390,243.13173626956 / 499.800003051758,243.1317 / 499.8,243.13173626956 / 499.800003051758,243.1317,499.8,C12150,484.2825,M+2H
"391",391,244.134591175463 / 541.200012207031,244.1346 / 541.2,244.134591175463 / 541.200012207031,244.1346,541.2,C07256,469.2245,M+H+NH4
"392",392,244.151938345391 / 420.609039306641,244.1519 / 420.6,244.151938345391 / 420.609039306641,244.1519,420.6,C08176,486.2981,M+2H
"393",393,244.188925275792 / 1096.80004882812,244.1889 / 1096.8,244.188925275792 / 1096.80004882812,244.1889,1096.8,C08972,486.3345,M+2H
"394",394,245.074223624595 / 57.6000022888184,245.0742 / 57.6,245.074223624595 / 57.6000022888184,245.0742,57.6,C04767,488.1632,M+2H
"395",395,245.089741068693 / 784.200012207031,245.0897 / 784.2,245.089741068693 / 784.200012207031,245.0897,784.2,C04767,488.1632,M+2H
"396",396,245.093468575184 / 127.200004577637,245.0935 / 127.2,245.093468575184 / 127.200004577637,245.0935,127.2,C04767,488.1632,M+2H
"397",397,245.089506481715 / 892.799987792969,245.0895 / 892.8,245.089506481715 / 892.799987792969,245.0895,892.8,C04767,488.1632,M+2H
"398",398,245.115241612025 / 1314.29992675781,245.1152 / 1314.3,245.115241612025 / 1314.29992675781,245.1152,1314.3,C08768,488.2046,M+2H
"399",399,245.135630433023 / 869.700012207031,245.1356 / 869.7,245.135630433023 / 869.700012207031,245.1356,869.7,C13358,488.2774,M+2H
"400",400,245.147295856839 / 614.700012207031,245.1473 / 614.7,245.147295856839 / 614.700012207031,245.1473,614.7,C13358,488.2774,M+2H
"401",401,245.158414939723 / 71.6207580566406,245.1584 / 71.6,245.158414939723 / 71.6207580566406,245.1584,71.6,C13358,488.2774,M+2H
"402",402,245.155308122647 / 420.899993896484,245.1553 / 420.9,245.155308122647 / 420.899993896484,245.1553,420.9,C13358,488.2774,M+2H
"403",403,246.092988025935 / 784.200012207031,246.093 / 784.2,246.092988025935 / 784.200012207031,246.093,784.2,C14123,490.1708,M+2H
"404",404,246.121201901142 / 527.099975585938,246.1212 / 527.1,246.121201901142 / 527.099975585938,246.1212,527.1,C18214,490.2598,M+2H
"405",405,246.149638796413 / 614.779357910156,246.1496 / 614.8,246.149638796413 / 614.779357910156,246.1496,614.8,C18214,490.2598,M+2H
"406",406,246.167502426843 / 483.300018310547,246.1675 / 483.3,246.167502426843 / 483.300018310547,246.1675,483.3,C10599,490.3308,M+2H
"407",407,246.167261858686 / 597,246.1673 / 597,246.167261858686 / 597,246.1673,597,C10599,490.3308,M+2H
"408",408,246.260409405529 / 527.099975585938,246.2604 / 527.1,246.260409405529 / 527.099975585938,246.2604,527.1,C08384,408.4695,M+2ACN+2H
"409",409,246.354930572204 / 527.099975585938,246.3549 / 527.1,,,,,,
"410",410,246.415679325821 / 527.099975585938,246.4157 / 527.1,,,,,,
"411",411,246.595682461687 / 527.100036621094,246.5957 / 527.1,246.595682461687 / 527.100036621094,246.5957,527.1,C11813,491.1791,M+2H
"412",412,247.090921441422 / 59.1061496734619,247.0909 / 59.1,247.090921441422 / 59.1061496734619,247.0909,59.1,C17507,492.1995,M+2H
"413",413,247.092822828578 / 454.800018310547,247.0928 / 454.8,247.092822828578 / 454.800018310547,247.0928,454.8,C17507,492.1995,M+2H
"414",414,247.105909612142 / 776.400024414062,247.1059 / 776.4,247.105909612142 / 776.400024414062,247.1059,776.4,C17507,492.1995,M+2H
"415",415,247.126275612505 / 122.100006103516,247.1263 / 122.1,247.126275612505 / 122.100006103516,247.1263,122.1,C09237,492.2525,M+2H
"416",416,247.126579936854 / 224.100006103516,247.1266 / 224.1,247.126579936854 / 224.100006103516,247.1266,224.1,C09237,492.2525,M+2H
"417",417,247.126375589195 / 285.299987792969,247.1264 / 285.3,247.126375589195 / 285.299987792969,247.1264,285.3,C09237,492.2525,M+2H
"418",418,247.124510292003 / 526.799987792969,247.1245 / 526.8,247.124510292003 / 526.799987792969,247.1245,526.8,C09237,492.2525,M+2H
"419",419,247.141134660453 / 426.937469482422,247.1411 / 426.9,247.141134660453 / 426.937469482422,247.1411,426.9,C09237,492.2525,M+2H
"420",420,247.151735576412 / 850.494567871094,247.1517 / 850.5,247.151735576412 / 850.494567871094,247.1517,850.5,C10010,492.2737,M+2H
"421",421,247.170458770035 / 483.798492431641,247.1705 / 483.8,247.170458770035 / 483.798492431641,247.1705,483.8,C07657,475.3006,M+H+NH4
"422",422,248.093345283361 / 249.899993896484,248.0933 / 249.9,248.093345283361 / 249.899993896484,248.0933,249.9,C09783,494.1788,M+2H
"423",423,248.091152155584 / 509.100006103516,248.0912 / 509.1,248.091152155584 / 509.100006103516,248.0912,509.1,C09783,494.1788,M+2H
"424",424,248.100586622111 / 454.799987792969,248.1006 / 454.8,248.100586622111 / 454.799987792969,248.1006,454.8,C07007,494.2116,M+2H
"425",425,248.12924633573 / 122.099998474121,248.1292 / 122.1,248.12924633573 / 122.099998474121,248.1292,122.1,C21268,494.2588,M+2H
"426",426,248.127435995124 / 527.099975585938,248.1274 / 527.1,248.127435995124 / 527.099975585938,248.1274,527.1,C21268,494.2588,M+2H
"427",427,248.146724814216 / 69.3000030517578,248.1467 / 69.3,248.146724814216 / 69.3000030517578,248.1467,69.3,C09990,494.2967,M+2H
"428",428,248.129623375227 / 224.399993896484,248.1296 / 224.4,248.129623375227 / 224.399993896484,248.1296,224.4,C21268,494.2588,M+2H
"429",429,248.162195719116 / 466.768753051758,248.1622 / 466.8,248.162195719116 / 466.768753051758,248.1622,466.8,C08829,494.3244,M+2H
"430",430,248.165463857261 / 1060.20007324219,248.1655 / 1060.2,248.165463857261 / 1060.20007324219,248.1655,1060.2,C08829,494.3244,M+2H
"431",431,249.105414112195 / 48.2999992370605,249.1054 / 48.3,249.105414112195 / 48.2999992370605,249.1054,48.3,C08760,496.2308,M+2H
"432",432,249.095673466649 / 249.900009155273,249.0957 / 249.9,249.095673466649 / 249.900009155273,249.0957,249.9,C16725,496.1846,M+2H
"433",433,249.10612305492 / 331.799987792969,249.1061 / 331.8,249.10612305492 / 331.799987792969,249.1061,331.8,C08760,496.2308,M+2H
"434",434,249.168837717912 / 1060.20007324219,249.1688 / 1060.2,249.168837717912 / 1060.20007324219,249.1688,1060.2,C04102,496.3403,M+2H
"435",435,250.036373457996 / 66.6237716674805,250.0364 / 66.6,250.036373457996 / 66.6237716674805,250.0364,66.6,C15630,481.0394,M+H+NH4
"436",436,250.078787379249 / 400.200012207031,250.0788 / 400.2,250.078787379249 / 400.200012207031,250.0788,400.2,C03646,498.109,M+2H
"437",437,250.090872295792 / 118.199996948242,250.0909 / 118.2,250.090872295792 / 118.199996948242,250.0909,118.2,C16724,498.2002,M+2H
"438",438,250.099290395571 / 752.999908447266,250.0993 / 753,250.099290395571 / 752.999908447266,250.0993,753,C11657,498.2101,M+2H
"439",439,250.107916906748 / 497.394226074219,250.1079 / 497.4,250.107916906748 / 497.394226074219,250.1079,497.4,C07704,498.2366,M+2H
"440",440,250.116490382696 / 681.599975585938,250.1165 / 681.6,250.116490382696 / 681.599975585938,250.1165,681.6,C07704,498.2366,M+2H
"441",441,250.177861511512 / 719.400024414062,250.1779 / 719.4,250.177861511512 / 719.400024414062,250.1779,719.4,C08607,498.3498,M+2H
