"",index,raw name,mz_time,Peak.Id,mz,rt,Compound,exact_mass,Add.name
"95",95,160.095517378016 / 145.800003051758,160.0955 / 145.8,160.095517378016 / 145.800003051758,160.0955,145.8,C07571,318.1555,M+2H
"96",96,160.095247894169 / 98.7000045776367,160.0952 / 98.7,160.095247894169 / 98.7000045776367,160.0952,98.7,C07571,318.1555,M+2H
"97",97,160.095212271926 / 307.5,160.0952 / 307.5,160.095212271926 / 307.5,160.0952,307.5,C07571,318.1555,M+2H
"98",98,160.10708601067 / 68.4000015258789,160.1071 / 68.4,160.10708601067 / 68.4000015258789,160.1071,68.4,C00909,318.2195,M+2H
"99",99,160.131637992712 / 54.5999984741211,160.1316 / 54.6,160.131637992712 / 54.5999984741211,160.1316,54.6,C05480,318.2559,M+2H
"100",100,161.090928311347 / 198.599990844727,161.0909 / 198.6,161.090928311347 / 198.599990844727,161.0909,198.6,C14307,320.1543,M+2H
"101",101,162.053315798117 / 637.799987792969,162.0533 / 637.8,162.053315798117 / 637.799987792969,162.0533,637.8,C05909,322.0689,M+2H
"102",102,162.053575103525 / 450.000030517578,162.0536 / 450,162.053575103525 / 450.000030517578,162.0536,450,C12374,322.0841,M+2H
"103",103,162.074643634265 / 67.2629318237305,162.0746 / 67.3,162.074643634265 / 67.2629318237305,162.0746,67.3,C12755,322.1504,M+2H
"104",104,162.111154641249 / 47.7000007629395,162.1112 / 47.7,162.111154641249 / 47.7000007629395,162.1112,47.7,C01441,322.1852,M+2H
"105",105,163.073924924806 / 1659.59997558594,163.0739 / 1659.6,163.073924924806 / 1659.59997558594,163.0739,1659.6,C17981,324.1533,M+2H
"106",106,163.07401318733 / 1672.5,163.074 / 1672.5,163.07401318733 / 1672.5,163.074,1672.5,C17981,324.1533,M+2H
"107",107,164.072780708047 / 90,164.0728 / 90,164.072780708047 / 90,164.0728,90,C09002,326.1518,M+2H
"108",108,165.053261038207 / 70.5,165.0533 / 70.5,165.053261038207 / 70.5,165.0533,70.5,C05995,328.1019,M+2H
"109",109,166.08470542122 / 131.699996948242,166.0847 / 131.7,166.08470542122 / 131.699996948242,166.0847,131.7,C11656,330.1679,M+2H
"110",110,166.070998023902 / 62.4000015258789,166.071 / 62.4,166.070998023902 / 62.4000015258789,166.071,62.4,C08556,330.1216,M+2H
"111",111,166.071167741223 / 98.7000045776367,166.0712 / 98.7,166.071167741223 / 98.7000045776367,166.0712,98.7,C08556,330.1216,M+2H
"112",112,166.197755541796 / 131.400009155273,166.1978 / 131.4,,,,,,
"113",113,167.011187685135 / 39.5999984741211,167.0112 / 39.6,167.011187685135 / 39.5999984741211,167.0112,39.6,C01359,332.0281,M+2H
"114",114,167.055062352095 / 109.799987792969,167.0551 / 109.8,167.055062352095 / 109.799987792969,167.0551,109.8,C00495,332.0896,M+2H
"115",115,167.08743696213 / 131.699996948242,167.0874 / 131.7,167.08743696213 / 131.699996948242,167.0874,131.7,C02035,332.1624,M+2H
"116",116,168.593105122053 / 489.900024414062,168.5931 / 489.9,168.593105122053 / 489.900024414062,168.5931,489.9,C06176,335.1733,M+2H
"117",117,169.034539714875 / 60.6000022888184,169.0345 / 60.6,169.034539714875 / 60.6000022888184,169.0345,60.6,C00796,336.0634,M+2H
"118",118,169.059354019262 / 163.800003051758,169.0594 / 163.8,169.059354019262 / 163.800003051758,169.0594,163.8,C00757,336.1236,M+2H
"119",119,169.095011293254 / 489.899993896484,169.095 / 489.9,169.095011293254 / 489.899993896484,169.095,489.9,C09035,336.1838,M+2H
"120",120,169.13231698211 / 52.5,169.1323 / 52.5,169.13231698211 / 52.5,169.1323,52.5,C14680,336.2664,M+2H
"121",121,169.592393649318 / 489.900024414062,169.5924 / 489.9,169.592393649318 / 489.900024414062,169.5924,489.9,C02993,337.175,M+2H
"122",122,170.040145579268 / 39.2999992370605,170.0401 / 39.3,170.040145579268 / 39.2999992370605,170.0401,39.3,C03686,338.079,M+2H
"123",123,170.058174967844 / 784.200012207031,170.0582 / 784.2,170.058174967844 / 784.200012207031,170.0582,784.2,C01701,338.1154,M+2H
"124",124,170.043581594442 / 155.399993896484,170.0436 / 155.4,170.043581594442 / 155.399993896484,170.0436,155.4,C03686,338.079,M+2H
"125",125,170.090857276597 / 77.1478538513184,170.0909 / 77.1,170.090857276597 / 77.1478538513184,170.0909,77.1,C00915,338.1783,M+2H
"126",126,172.097024039974 / 624.600036621094,172.097 / 624.6,172.097024039974 / 624.600036621094,172.097,624.6,C06496,342.1943,M+2H
"127",127,172.163629752271 / 1223.40002441406,172.1636 / 1223.4,172.163629752271 / 1223.40002441406,172.1636,1223.4,C13860,342.3134,M+2H
"128",128,174.079534514056 / 87,174.0795 / 87,174.079534514056 / 87,174.0795,87,C01699,346.1416,M+2H
"129",129,174.111058693135 / 670.500061035156,174.1111 / 670.5,174.111058693135 / 670.500061035156,174.1111,670.5,C02140,346.2144,M+2H
"130",130,174.110898361472 / 593.099975585938,174.1109 / 593.1,174.110898361472 / 593.099975585938,174.1109,593.1,C02140,346.2144,M+2H
"131",131,174.110940555289 / 270.600006103516,174.1109 / 270.6,174.110940555289 / 270.600006103516,174.1109,270.6,C02140,346.2144,M+2H
"132",132,174.122110869892 / 77.4065628051758,174.1221 / 77.4,174.122110869892 / 77.4065628051758,174.1221,77.4,C10794,346.2508,M+2H
"133",133,175.077137600468 / 533.400024414062,175.0771 / 533.4,175.077137600468 / 533.400024414062,175.0771,533.4,C00859,348.1573,M+2H
"134",134,175.582466350129 / 570.900024414062,175.5825 / 570.9,175.582466350129 / 570.900024414062,175.5825,570.9,C10375,349.1525,M+2H
"135",135,176.069288020325 / 674.099975585938,176.0693 / 674.1,176.069288020325 / 674.099975585938,176.0693,674.1,C02538,350.1188,M+2H
"136",136,176.581265069642 / 570.900024414062,176.5813 / 570.9,176.581265069642 / 570.900024414062,176.5813,570.9,C03300,351.1543,M+2H
"137",137,177.052846790899 / 601.118286132812,177.0528 / 601.1,177.052846790899 / 601.118286132812,177.0528,601.1,C06686,352.0714,M+2H
"138",138,177.100079774706 / 66.5999984741211,177.1001 / 66.6,177.100079774706 / 66.5999984741211,177.1001,66.6,C02151,352.1787,M+2H
"139",139,177.110404796515 / 805.200012207031,177.1104 / 805.2,177.110404796515 / 805.200012207031,177.1104,805.2,C00427,352.225,M+2H
"140",140,178.087752527347 / 154.800003051758,178.0878 / 154.8,178.087752527347 / 154.800003051758,178.0878,154.8,C02915,354.1705,M+2H
"141",141,180.063477321305 / 450.364379882812,180.0635 / 450.4,180.063477321305 / 450.364379882812,180.0635,450.4,C01134,358.0964,M+2H
"142",142,180.085046479155 / 189.300018310547,180.085 / 189.3,180.085046479155 / 189.300018310547,180.085,189.3,C01675,358.1562,M+2H
"143",143,180.078689898148 / 766.799987792969,180.0787 / 766.8,180.078689898148 / 766.799987792969,180.0787,766.8,C01675,358.1562,M+2H
"144",144,180.182146157538 / 450.50358581543,180.1821 / 450.5,180.182146157538 / 450.50358581543,180.1821,450.5,C16818,358.3236,M+2H
"145",145,180.263388198542 / 450.308502197266,180.2634 / 450.3,,,,,,
"146",146,180.315546902205 / 450.299987792969,180.3155 / 450.3,,,,,,
"147",147,180.469348821146 / 450.300018310547,180.4693 / 450.3,180.469348821146 / 450.300018310547,180.4693,450.3,C13086,341.885,M+H+NH4
"148",148,181.058890932384 / 298.200012207031,181.0589 / 298.2,181.058890932384 / 298.200012207031,181.0589,298.2,C01850,360.0845,M+2H
"149",149,181.067156870322 / 450.299987792969,181.0672 / 450.3,181.067156870322 / 450.299987792969,181.0672,450.3,C07184,360.1313,M+2H
"150",150,181.070115584192 / 166.199996948242,181.0701 / 166.2,181.070115584192 / 166.199996948242,181.0701,166.2,C13676,360.1508,M+2H
"151",151,181.07024900749 / 269.100006103516,181.0702 / 269.1,181.07024900749 / 269.100006103516,181.0702,269.1,C13676,360.1508,M+2H
"152",152,181.083360384615 / 766.799987792969,181.0834 / 766.8,181.083360384615 / 766.799987792969,181.0834,766.8,C09204,360.1573,M+2H
"153",153,182.061989996228 / 298.199981689453,182.062 / 298.2,182.061989996228 / 298.199981689453,182.062,298.2,C06327,362.1028,M+2H
"154",154,182.079243412911 / 70.7999954223633,182.0792 / 70.8,182.079243412911 / 70.7999954223633,182.0792,70.8,C03958,362.1703,M+2H
"155",155,182.066240425441 / 82.5226058959961,182.0662 / 82.5,182.066240425441 / 82.5226058959961,182.0662,82.5,C06327,362.1028,M+2H
"156",156,182.079346918741 / 527.700012207031,182.0793 / 527.7,182.079346918741 / 527.700012207031,182.0793,527.7,C03958,362.1703,M+2H
"157",157,182.068933328447 / 450.299987792969,182.0689 / 450.3,182.068933328447 / 450.299987792969,182.0689,450.3,C06327,362.1028,M+2H
"158",158,182.98396807255 / 1.79999995231628,182.984 / 1.8,182.98396807255 / 1.79999995231628,182.984,1.8,C05707,363.9441,M+2H
"159",159,182.98420910108 / 26.3999996185303,182.9842 / 26.4,182.98420910108 / 26.3999996185303,182.9842,26.4,C05707,363.9441,M+2H
"160",160,182.984242821645 / 21.6000003814697,182.9842 / 21.6,182.984242821645 / 21.6000003814697,182.9842,21.6,C05707,363.9441,M+2H
"161",161,182.983969265585 / 32.4000015258789,182.984 / 32.4,182.983969265585 / 32.4000015258789,182.984,32.4,C05707,363.9441,M+2H
"162",162,183.049764564375 / 92.0999984741211,183.0498 / 92.1,183.049764564375 / 92.0999984741211,183.0498,92.1,C10636,364.0947,M+2H
"163",163,183.079094513341 / 1368.59997558594,183.0791 / 1368.6,183.079094513341 / 1368.59997558594,183.0791,1368.6,C03579,364.1522,M+2H
"164",164,183.082981705752 / 70.7999954223633,183.083 / 70.8,183.082981705752 / 70.7999954223633,183.083,70.8,C03579,364.1522,M+2H
"165",165,183.110776986213 / 97.1999969482422,183.1108 / 97.2,183.110776986213 / 97.1999969482422,183.1108,97.2,C05470,364.225,M+2H
"166",166,184.058697879144 / 86.000789642334,184.0587 / 86,184.058697879144 / 86.000789642334,184.0587,86,C06835,366.1023,M+2H
"167",167,184.095141300076 / 620.699951171875,184.0951 / 620.7,184.095141300076 / 620.699951171875,184.0951,620.7,C09034,366.158,M+2H
"168",168,184.615510279845 / 482.099975585938,184.6155 / 482.1,184.615510279845 / 482.099975585938,184.6155,482.1,C07852,367.2147,M+2H
"169",169,185.126385250712 / 210,185.1264 / 210,185.126385250712 / 210,185.1264,210,C05482,368.2563,M+2H
"170",170,185.116739372595 / 482.100006103516,185.1167 / 482.1,185.116739372595 / 482.100006103516,185.1167,482.1,C05956,368.2199,M+2H
"171",171,185.115087388583 / 652.499938964844,185.1151 / 652.5,185.115087388583 / 652.499938964844,185.1151,652.5,C05956,368.2199,M+2H
"172",172,186.017038820973 / 39.2999992370605,186.017 / 39.3,186.017038820973 / 39.2999992370605,186.017,39.3,C00447,370.0066,M+2H
"173",173,186.110720033519 / 642.899963378906,186.1107 / 642.9,186.110720033519 / 642.899963378906,186.1107,642.9,C06495,370.2256,M+2H
