"",index,raw data name,raw data name round,RAMClustR mz_rt,RAMClustR adduct
"960",960,439.164440140659 / 920.700012207031,439.164 / 920.7,439.164 / 920.7,[M+H]+
"961",961,439.163861845989 / 1039.19995117188,439.164 / 1039.2,,
"962",962,439.153832796209 / 597.744140625,439.154 / 597.7,,
"963",963,441.16164291588 / 920.699951171875,441.162 / 920.7,441.162 / 920.7,
"964",964,447.139881233947 / 728.157440185547,447.14 / 728.2,,
"965",965,448.304344177954 / 1240.20007324219,448.304 / 1240.2,,
"966",966,450.910455979655 / 603.150024414062,450.91 / 603.2,450.91 / 603.2,
"967",967,450.91144128196 / 607.200012207031,450.911 / 607.2,,
"968",968,451.244395326135 / 607.38330078125,451.244 / 607.4,,
"969",969,451.244587083253 / 603.150024414062,451.245 / 603.2,451.245 / 603.2,
"970",970,456.063754641701 / 631.799987792969,456.064 / 631.8,,
"971",971,457.066678501146 / 631.949981689453,457.067 / 631.9,457.067 / 631.9,
"972",972,468.004786786605 / 685.199951171875,468.005 / 685.2,468.005 / 685.2,
"973",973,468.255270045249 / 685.288330078125,468.255 / 685.3,,
"974",974,475.246553016591 / 968.400024414062,475.247 / 968.4,,
"975",975,476.148468766351 / 672,476.148 / 672,,
"976",976,482.168095584254 / 759.299926757812,482.168 / 759.3,,
"977",977,508.260267788814 / 141.900009155273,508.26 / 141.9,,
"978",978,518.238207704775 / 1006.19995117188,518.238 / 1006.2,,
"979",979,544.217303455762 / 825.900024414062,544.217 / 825.9,,
"980",980,546.232856650885 / 739.5,546.233 / 739.5,,
"981",981,546.232515530547 / 797.399963378906,546.233 / 797.4,,
"982",982,648.269593475312 / 510.599975585938,648.27 / 510.6,,
