"",index,raw data name,raw data name round,RAMClustR mz_rt,RAMClustR adduct
"267",267,214.213903900495 / 1575.59997558594,214.214 / 1575.6,,
"268",268,215.014113150069 / 64.5991630554199,215.014 / 64.6,,
"269",269,215.136385711203 / 68.1000061035156,215.136 / 68.1,215.136 / 68.1,
"270",270,216.111117438793 / 683.099975585938,216.111 / 683.1,,
"271",271,216.110852077341 / 290.586120605469,216.111 / 290.6,,
"272",272,217.095497810658 / 495.600006103516,217.095 / 495.6,,
"273",273,217.117203289983 / 765,217.117 / 765,,
"274",274,217.115672674948 / 105.599998474121,217.116 / 105.6,,
"275",275,217.115570667603 / 84,217.116 / 84,,
"276",276,217.118318959472 / 715.499938964844,217.118 / 715.5,,
"277",277,217.145115242783 / 55.2000007629395,217.145 / 55.2,,
"278",278,217.619595306132 / 764.700012207031,217.62 / 764.7,,
"279",279,218.112210932297 / 66.1467132568359,218.112 / 66.1,,
"280",280,218.12633824877 / 253.799995422363,218.126 / 253.8,218.126 / 253.8,[M+H]+
"281",281,218.130123083662 / 866.400024414062,218.13 / 866.4,,
"282",282,218.1213640818 / 105.3151512146,218.121 / 105.3,,
"283",283,218.137035457889 / 91.1999969482422,218.137 / 91.2,218.137 / 91.2,[M+H]+
"284",284,218.139503884639 / 152.699996948242,218.14 / 152.7,,
"285",285,218.13004664842 / 765.899993896484,218.13 / 765.9,,
"286",286,218.153567431794 / 54.9000015258789,218.154 / 54.9,,
"287",287,218.256914236234 / 253.800003051758,218.257 / 253.8,218.257 / 253.8,[M+H]+
"288",288,218.405910952947 / 253.800003051758,218.406 / 253.8,218.406 / 253.8,
"289",289,219.120660937112 / 692.099975585938,219.121 / 692.1,219.121 / 692.1,[M+H]+
"290",290,219.129457873617 / 253.799987792969,219.129 / 253.8,219.129 / 253.8,
"291",291,219.139983210185 / 91.1999969482422,219.14 / 91.2,219.14 / 91.2,
"292",292,219.167955426387 / 50.6999969482422,219.168 / 50.7,,
"293",293,220.05862936803 / 593.399963378906,220.059 / 593.4,,
"294",294,220.062104046458 / 101.699996948242,220.062 / 101.7,,
"295",295,220.115526946361 / 169.800003051758,220.116 / 169.8,,
"296",296,220.133236150148 / 843,220.133 / 843,,
"297",297,220.171565453106 / 50.6904792785645,220.172 / 50.7,,
"298",298,221.089760371239 / 93.75,221.09 / 93.8,,
"299",299,221.118609368567 / 169.605476379395,221.119 / 169.6,,
"300",300,221.136884474943 / 843,221.137 / 843,,
"301",301,222.077410927949 / 88.7999954223633,222.077 / 88.8,,
"302",302,223.017968679923 / 72.9000015258789,223.018 / 72.9,,
"303",303,223.094407542482 / 1141.80004882812,223.094 / 1141.8,223.094 / 1141.8,[M+H-H2O]+
"304",304,223.094201028301 / 602.834777832031,223.094 / 602.8,,
"305",305,223.097767231232 / 181.799987792969,223.098 / 181.8,,
"306",306,223.130044551742 / 1191.59997558594,223.13 / 1191.6,,
"307",307,224.075639055896 / 92.0999946594238,224.076 / 92.1,224.076 / 92.1,
"308",308,224.068930963929 / 123,224.069 / 123,,
"309",309,225.108020369489 / 652.5,225.108 / 652.5,225.108 / 652.5,[M+Na]+
"310",310,225.193891927557 / 1203.97668457031,225.194 / 1204,,
"311",311,226.068510795171 / 320.400024414062,226.069 / 320.4,,
"312",312,227.100209650487 / 157.5,227.1 / 157.5,,
"313",313,227.090455638166 / 863.100036621094,227.09 / 863.1,,
"314",314,227.122947567188 / 48.9000015258789,227.123 / 48.9,,
"315",315,227.125459758857 / 869.987091064453,227.125 / 870,,
"316",316,227.160770094287 / 1053.00012207031,227.161 / 1053,227.161 / 1053,[M+H]+
"317",317,227.171270506938 / 74.4388275146484,227.171 / 74.4,,
"318",318,228.125383067767 / 48.8999977111816,228.125 / 48.9,,
"319",319,228.111402849629 / 527.100036621094,228.111 / 527.1,228.111 / 527.1,
"320",320,228.229601545209 / 1630.80004882812,228.23 / 1630.8,,
"321",321,229.116171586389 / 52.5,229.116 / 52.5,,
"322",322,229.115597958456 / 318.150009155273,229.116 / 318.2,,
"323",323,229.14101898171 / 850.5,229.141 / 850.5,229.141 / 850.5,[M+H-H2O]+
"324",324,229.152597385167 / 64.5,229.153 / 64.5,,
"325",325,229.152610238768 / 86.7000045776367,229.153 / 86.7,229.153 / 86.7,[M+H]+
"326",326,229.286279731801 / 86.7000045776367,229.286 / 86.7,229.286 / 86.7,
"327",327,229.286002389122 / 63.9089775085449,229.286 / 63.9,,
"328",328,229.375562974601 / 86.6999969482422,229.376 / 86.7,229.376 / 86.7,
"329",329,229.437236414649 / 86.7000045776367,229.437 / 86.7,229.437 / 86.7,
"330",330,229.579910014823 / 1714.80002441406,229.58 / 1714.8,,
"331",331,230.137095025304 / 111.900001525879,230.137 / 111.9,,
"332",332,230.1552913263 / 86.6999969482422,230.155 / 86.7,230.155 / 86.7,
"333",333,230.156819821691 / 64.3012351989746,230.157 / 64.3,,
"334",334,230.183854614756 / 210,230.184 / 210,230.184 / 210,
"335",335,230.988220951976 / 64.5,230.988 / 64.5,230.988 / 64.5,[M+H]+
"336",336,231.066677745665 / 249.900024414062,231.067 / 249.9,231.067 / 249.9,[M+H]+
"337",337,231.081982950826 / 171.596878051758,231.082 / 171.6,,
"338",338,231.131581528079 / 132.165084838867,231.132 / 132.2,,
"339",339,231.130738906535 / 257.111602783203,231.131 / 257.1,,
"340",340,231.139153045606 / 1060.20007324219,231.139 / 1060.2,231.139 / 1060.2,[M+H]+
"341",341,231.14745027352 / 64.3926620483398,231.147 / 64.4,231.147 / 64.4,[M+H]+
"342",342,231.156145652428 / 849.299987792969,231.156 / 849.3,,
"343",343,232.105497424272 / 519,232.105 / 519,232.105 / 519,[M+H]+
"344",344,232.114923523369 / 640.799987792969,232.115 / 640.8,,
"345",345,232.127221490945 / 89.9457206726074,232.127 / 89.9,,
"346",346,232.152300253518 / 192.899993896484,232.152 / 192.9,,
"347",347,232.240654530378 / 519,232.241 / 519,,
"348",348,232.286653696201 / 193.150695800781,232.287 / 193.2,,
"349",349,232.439820228598 / 193.199981689453,232.44 / 193.2,,
"350",350,233.108664531397 / 519,233.109 / 519,233.109 / 519,
"351",351,233.110518917951 / 102.599998474121,233.111 / 102.6,233.111 / 102.6,[M+H-C2H3NO]+
"352",352,233.115250513824 / 88.5,233.115 / 88.5,,
"353",353,233.121689043274 / 52.5,233.122 / 52.5,,
"354",354,233.155326316608 / 192.900009155273,233.155 / 192.9,,
"355",355,234.084497897765 / 731.400024414062,234.084 / 731.4,,
"356",356,234.09508147257 / 174.600006103516,234.095 / 174.6,,
"357",357,234.121750882202 / 114.900001525879,234.122 / 114.9,,
"358",358,235.129178759899 / 1921.80004882812,235.129 / 1921.8,,
"359",359,235.166811719954 / 1612.80004882812,235.167 / 1612.8,,
"360",360,235.177992636542 / 591,235.178 / 591,,
"361",361,235.19138776755 / 2065.19995117188,235.191 / 2065.2,,
"362",362,235.191292327438 / 1977.90002441406,235.191 / 1977.9,235.191 / 1977.9,
"363",363,235.313574201877 / 591,235.314 / 591,235.314 / 591,
"364",364,235.403832757369 / 591,235.404 / 591,235.404 / 591,
"365",365,235.465242073855 / 591,235.465 / 591,235.465 / 591,
"366",366,235.640745374582 / 591,235.641 / 591,235.641 / 591,
"367",367,236.162061783418 / 552.900024414062,236.162 / 552.9,,
"368",368,236.181360041561 / 591,236.181 / 591,236.181 / 591,[M+H]+
"369",369,237.099540799078 / 1031.09997558594,237.1 / 1031.1,,
"370",370,237.121286995048 / 231,237.121 / 231,237.121 / 231,[M+H-H2O]+
"371",371,237.145697013314 / 1128.00012207031,237.146 / 1128,,
"372",372,237.188708317338 / 1977.90002441406,237.189 / 1977.9,237.189 / 1977.9,
"373",373,237.184408192039 / 591,237.184 / 591,237.184 / 591,
"374",374,238.09181822169 / 236.281105041504,238.092 / 236.3,238.092 / 236.3,
"375",375,239.104061943972 / 952.200012207031,239.104 / 952.2,,
"376",376,239.136449755795 / 806.399963378906,239.136 / 806.4,,
"377",377,239.964127616775 / 40.2000007629395,239.964 / 40.2,,
"378",378,240.095797688057 / 450.299987792969,240.096 / 450.3,240.096 / 450.3,[M+H]+
"379",379,240.105344137508 / 64.4819412231445,240.105 / 64.5,,
"380",380,241.091063618463 / 109.499992370605,241.091 / 109.5,,
"381",381,241.104837414141 / 1141.80004882812,241.105 / 1141.8,241.105 / 1141.8,[M+H]+
"382",382,241.152733266889 / 78.8944854736328,241.153 / 78.9,,
"383",383,241.152643169004 / 66.3473815917969,241.153 / 66.3,,
"384",384,241.152784358687 / 93.6000061035156,241.153 / 93.6,241.153 / 93.6,
"385",385,241.171440234609 / 1410.30004882812,241.171 / 1410.3,,
"386",386,241.168218683328 / 517.5,241.168 / 517.5,,
"387",387,242.173286289174 / 1410.00012207031,242.173 / 1410,,
"388",388,243.131859709845 / 541.200012207031,243.132 / 541.2,243.132 / 541.2,[M+H]+
"389",389,243.131273275326 / 604.799987792969,243.131 / 604.8,,
"390",390,243.13173626956 / 499.800003051758,243.132 / 499.8,,
"391",391,244.134591175463 / 541.200012207031,244.135 / 541.2,244.135 / 541.2,
"392",392,244.151938345391 / 420.609039306641,244.152 / 420.6,,
"393",393,244.188925275792 / 1096.80004882812,244.189 / 1096.8,,
"394",394,245.074223624595 / 57.6000022888184,245.074 / 57.6,,
"395",395,245.089741068693 / 784.200012207031,245.09 / 784.2,245.09 / 784.2,[M+Na]+
"396",396,245.093468575184 / 127.200004577637,245.093 / 127.2,,
"397",397,245.089506481715 / 892.799987792969,245.09 / 892.8,,
"398",398,245.115241612025 / 1314.29992675781,245.115 / 1314.3,,
"399",399,245.135630433023 / 869.700012207031,245.136 / 869.7,,
"400",400,245.147295856839 / 614.700012207031,245.147 / 614.7,245.147 / 614.7,[M+H]+
"401",401,245.158414939723 / 71.6207580566406,245.158 / 71.6,,
"402",402,245.155308122647 / 420.899993896484,245.155 / 420.9,,
"403",403,246.092988025935 / 784.200012207031,246.093 / 784.2,246.093 / 784.2,
"404",404,246.121201901142 / 527.099975585938,246.121 / 527.1,,
"405",405,246.149638796413 / 614.779357910156,246.15 / 614.8,,
"406",406,246.167502426843 / 483.300018310547,246.168 / 483.3,,
"407",407,246.167261858686 / 597,246.167 / 597,,
"408",408,246.260409405529 / 527.099975585938,246.26 / 527.1,246.26 / 527.1,
"409",409,246.354930572204 / 527.099975585938,246.355 / 527.1,246.355 / 527.1,
"410",410,246.415679325821 / 527.099975585938,246.416 / 527.1,246.416 / 527.1,
"411",411,246.595682461687 / 527.100036621094,246.596 / 527.1,246.596 / 527.1,
"412",412,247.090921441422 / 59.1061496734619,247.091 / 59.1,,
"413",413,247.092822828578 / 454.800018310547,247.093 / 454.8,247.093 / 454.8,
"414",414,247.105909612142 / 776.400024414062,247.106 / 776.4,,
"415",415,247.126275612505 / 122.100006103516,247.126 / 122.1,247.126 / 122.1,[M+H]+
"416",416,247.126579936854 / 224.100006103516,247.127 / 224.1,,
"417",417,247.126375589195 / 285.299987792969,247.126 / 285.3,,
"418",418,247.124510292003 / 526.799987792969,247.125 / 526.8,,
"419",419,247.141134660453 / 426.937469482422,247.141 / 426.9,,
"420",420,247.151735576412 / 850.494567871094,247.152 / 850.5,247.152 / 850.5,[M+H]+
"421",421,247.170458770035 / 483.798492431641,247.17 / 483.8,,
"422",422,248.093345283361 / 249.899993896484,248.093 / 249.9,248.093 / 249.9,[M+NH4]+
"423",423,248.091152155584 / 509.100006103516,248.091 / 509.1,,
"424",424,248.100586622111 / 454.799987792969,248.101 / 454.8,248.101 / 454.8,[M+H]+
"425",425,248.12924633573 / 122.099998474121,248.129 / 122.1,248.129 / 122.1,
"426",426,248.127435995124 / 527.099975585938,248.127 / 527.1,248.127 / 527.1,[M+H]+
"427",427,248.146724814216 / 69.3000030517578,248.147 / 69.3,,
"428",428,248.129623375227 / 224.399993896484,248.13 / 224.4,,
"429",429,248.162195719116 / 466.768753051758,248.162 / 466.8,,
"430",430,248.165463857261 / 1060.20007324219,248.165 / 1060.2,248.165 / 1060.2,[M+NH4]+
"431",431,249.105414112195 / 48.2999992370605,249.105 / 48.3,,
"432",432,249.095673466649 / 249.900009155273,249.096 / 249.9,249.096 / 249.9,
"433",433,249.10612305492 / 331.799987792969,249.106 / 331.8,,
"434",434,249.168837717912 / 1060.20007324219,249.169 / 1060.2,249.169 / 1060.2,
"435",435,250.036373457996 / 66.6237716674805,250.036 / 66.6,,
"436",436,250.078787379249 / 400.200012207031,250.079 / 400.2,,
"437",437,250.090872295792 / 118.199996948242,250.091 / 118.2,,
"438",438,250.099290395571 / 752.999908447266,250.099 / 753,,
"439",439,250.107916906748 / 497.394226074219,250.108 / 497.4,,
"440",440,250.116490382696 / 681.599975585938,250.116 / 681.6,,
"441",441,250.177861511512 / 719.400024414062,250.178 / 719.4,,
"442",442,250.177865818639 / 536.400024414062,250.178 / 536.4,,
"443",443,251.075415357384 / 148.5,251.075 / 148.5,,
"444",444,251.126082655472 / 1358.10009765625,251.126 / 1358.1,251.126 / 1358.1,[M+H-H2O]+
"445",445,251.126112724983 / 1178.39990234375,251.126 / 1178.4,,
"446",446,251.125883971987 / 1171.80004882812,251.126 / 1171.8,,
"447",447,252.084327381845 / 601.039306640625,252.084 / 601,,
"448",448,252.139706497022 / 764.999938964844,252.14 / 765,,
"449",449,253.095821262079 / 766.799987792969,253.096 / 766.8,253.096 / 766.8,[M+H-H2O]+
"450",450,253.095878774699 / 890.700012207031,253.096 / 890.7,,
"451",451,253.089045442668 / 201.582489013672,253.089 / 201.6,,
"452",452,253.095005864756 / 728.392913818359,253.095 / 728.4,,
"453",453,253.116050026404 / 219.900009155273,253.116 / 219.9,253.116 / 219.9,[M+H-H2O]+
"454",454,253.146517153927 / 842.700012207031,253.147 / 842.7,,
"455",455,254.086678064064 / 766.799987792969,254.087 / 766.8,254.087 / 766.8,[M+H-NH3]+
"456",456,254.159088821519 / 93,254.159 / 93,,
"457",457,255.095108922242 / 184.800003051758,255.095 / 184.8,255.095 / 184.8,[M+H]+
"458",458,255.099440471042 / 1035.29992675781,255.099 / 1035.3,,
"459",459,255.09960221361 / 1044,255.1 / 1044,,
"460",460,255.109616510534 / 879.279571533203,255.11 / 879.3,,
"461",461,255.115786698965 / 196.800003051758,255.116 / 196.8,,
"462",462,255.131945620414 / 231,255.132 / 231,255.132 / 231,[M+H]+
"463",463,255.156883080569 / 1231.79992675781,255.157 / 1231.8,,
"464",464,255.143375079602 / 60.9202690124512,255.143 / 60.9,,
"465",465,255.215626842899 / 923.700073242188,255.216 / 923.7,255.216 / 923.7,[M+H]+
"466",466,255.209174113046 / 1179.90002441406,255.209 / 1179.9,,
"467",467,255.642284452975 / 1922.09997558594,255.642 / 1922.1,,
"468",468,255.717560227513 / 923.699951171875,255.718 / 923.7,255.718 / 923.7,
"469",469,255.942525629738 / 40.2000007629395,255.943 / 40.2,,
"470",470,256.102526670649 / 1035.27600097656,256.103 / 1035.3,,
"471",471,256.115795544794 / 134.399993896484,256.116 / 134.4,,
"472",472,256.127442474274 / 267.279846191406,256.127 / 267.3,,
"473",473,256.142628995434 / 1055.09997558594,256.143 / 1055.1,256.143 / 1055.1,[M+H]+
"474",474,256.143986748092 / 1921.80004882812,256.144 / 1921.8,,
"475",475,256.13453643815 / 231,256.135 / 231,256.135 / 231,
"476",476,256.261574665954 / 1881.30004882812,256.262 / 1881.3,,
"477",477,256.640336601976 / 1921.80004882812,256.64 / 1921.8,,
"478",478,256.643719029851 / 1055.0751953125,256.644 / 1055.1,256.644 / 1055.1,
"479",479,257.111067340911 / 82.220085144043,257.111 / 82.2,,
"480",480,257.147610976621 / 689.700012207031,257.148 / 689.7,,
"481",481,257.150554392743 / 1125,257.151 / 1125,257.151 / 1125,[M+H]+
"482",482,257.158675714705 / 51,257.159 / 51,,
"483",483,257.147870749782 / 734.700012207031,257.148 / 734.7,,
"484",484,257.224079863953 / 1153.19995117188,257.224 / 1153.2,,
"485",485,257.651011193436 / 1124.99407958984,257.651 / 1125,257.651 / 1125,
"486",486,258.106748540164 / 68.0999984741211,258.107 / 68.1,258.107 / 68.1,[M+K]+
"487",487,258.150450021735 / 689.699981689453,258.15 / 689.7,,
"488",488,259.049119858277 / 92.7000045776367,259.049 / 92.7,,
"489",489,259.163472661871 / 756.600036621094,259.163 / 756.6,,
"490",490,260.147516878122 / 88.2000045776367,260.148 / 88.2,,
"491",491,260.1830726747 / 720.599975585938,260.183 / 720.6,,
"492",492,260.183329502546 / 650.400024414062,260.183 / 650.4,,
"493",493,261.096528758042 / 80.7000045776367,261.097 / 80.7,,
"494",494,261.101619110414 / 621.599975585938,261.102 / 621.6,,
"495",495,261.131943637168 / 662.700012207031,261.132 / 662.7,,
"496",496,261.142597596847 / 309,261.143 / 309,,
"497",497,261.142408620065 / 364.800018310547,261.142 / 364.8,,
"498",498,262.035949099495 / 76.1999969482422,262.036 / 76.2,,
"499",499,262.108415299133 / 521.700012207031,262.108 / 521.7,,
"500",500,262.126165712063 / 66.1386260986328,262.126 / 66.1,,
"501",501,262.117337174578 / 475.463333129883,262.117 / 475.5,,
"502",502,262.117581961631 / 597.608947753906,262.118 / 597.6,,
"503",503,262.125616693269 / 77.7000045776367,262.126 / 77.7,,
"504",504,262.117082484889 / 375.600036621094,262.117 / 375.6,,
"505",505,262.163299775799 / 95.6999969482422,262.163 / 95.7,262.163 / 95.7,[M+H]+
"506",506,263.04046719072 / 75.9000015258789,263.04 / 75.9,,
"507",507,263.101890352411 / 545.100036621094,263.102 / 545.1,,
"508",508,263.103423335767 / 559.5,263.103 / 559.5,,
"509",509,263.102489466177 / 474.899993896484,263.102 / 474.9,,
"510",510,263.137761979057 / 603,263.138 / 603,,
"511",511,263.146457562756 / 646.805419921875,263.146 / 646.8,,
"512",512,263.166551787574 / 95.6999969482422,263.167 / 95.7,263.167 / 95.7,
"513",513,264.115386886962 / 649.5,264.115 / 649.5,,
"514",514,264.194212268128 / 709.199951171875,264.194 / 709.2,264.194 / 709.2,[M+H]+
"515",515,264.229806681895 / 1090.50012207031,264.23 / 1090.5,,
"516",516,265.014306971427 / 39.8999977111816,265.014 / 39.9,,
"517",517,265.095689988317 / 439.200012207031,265.096 / 439.2,,
"518",518,265.115949441437 / 509.100006103516,265.116 / 509.1,,
"519",519,265.116090077966 / 513.900024414062,265.116 / 513.9,,
"520",520,265.142302565198 / 887.399963378906,265.142 / 887.4,,
"521",521,265.147262196029 / 859.800079345703,265.147 / 859.8,,
"522",522,265.196694933333 / 709.200012207031,265.197 / 709.2,265.197 / 709.2,
"523",523,265.259813487086 / 509.100006103516,265.26 / 509.1,,
"524",524,265.355845178037 / 509.399993896484,265.356 / 509.4,,
"525",525,265.42129323903 / 509.399993896484,265.421 / 509.4,,
"526",526,265.607878637698 / 509.100006103516,265.608 / 509.1,,
"527",527,266.100371998405 / 630.600036621094,266.1 / 630.6,266.1 / 630.6,[M+H]+
"528",528,266.100363301946 / 703.5,266.1 / 703.5,,
"529",529,266.119756962341 / 509.100006103516,266.12 / 509.1,,
"530",530,266.108190329852 / 504.299987792969,266.108 / 504.3,266.108 / 504.3,[M+H]+
"531",531,266.119756093919 / 514.200012207031,266.12 / 514.2,,
"532",532,266.136967829542 / 551.400024414062,266.137 / 551.4,266.137 / 551.4,[M+H]+
"533",533,267.057422645064 / 57.0321846008301,267.057 / 57,,
"534",534,267.103922589851 / 630.599975585938,267.104 / 630.6,267.104 / 630.6,
"535",535,267.10736394141 / 504.300018310547,267.107 / 504.3,267.107 / 504.3,
"536",536,267.120096976555 / 187.5,267.12 / 187.5,,
"537",537,267.120819285454 / 816.599975585938,267.121 / 816.6,,
"538",538,267.131609262576 / 756.900024414062,267.132 / 756.9,,
"539",539,267.120596268468 / 907.5,267.121 / 907.5,267.121 / 907.5,[M+H-H2O]+
"540",540,267.121264669646 / 509.099975585938,267.121 / 509.1,,
"541",541,267.129338545016 / 614.700012207031,267.129 / 614.7,267.129 / 614.7,[M+Na]+
"542",542,267.131854091938 / 137.150207519531,267.132 / 137.2,,
"543",543,267.139776103946 / 551.400024414062,267.14 / 551.4,267.14 / 551.4,
"544",544,267.168519378302 / 214.800003051758,267.169 / 214.8,267.169 / 214.8,[M+H]+
"545",545,268.102696562217 / 70.4972763061523,268.103 / 70.5,,
"546",546,268.152347835011 / 540.299987792969,268.152 / 540.3,268.152 / 540.3,[M+H]+
"547",547,268.171282144685 / 214.799987792969,268.171 / 214.8,268.171 / 214.8,
"548",548,269.122055588568 / 54.2999992370605,269.122 / 54.3,,
"549",549,269.147861175496 / 730.5,269.148 / 730.5,,
"550",550,269.136112157918 / 1358.10009765625,269.136 / 1358.1,269.136 / 1358.1,[M+H]+
"551",551,269.136633905175 / 1178.10009765625,269.137 / 1178.1,269.137 / 1178.1,[M+H]+
"552",552,269.136511329914 / 1172.09997558594,269.137 / 1172.1,,
"553",553,269.154794778322 / 540.299987792969,269.155 / 540.3,269.155 / 540.3,
"554",554,270.277891257303 / 1834.80004882812,270.278 / 1834.8,,
"555",555,271.090895094073 / 86.6999969482422,271.091 / 86.7,,
"556",556,271.106017078894 / 766.799987792969,271.106 / 766.8,271.106 / 766.8,[M+H]+
"557",557,271.127260746994 / 219.900009155273,271.127 / 219.9,271.127 / 219.9,[M+H]+
"558",558,271.162814166088 / 824.708740234375,271.163 / 824.7,,
"559",559,271.163450695186 / 896.099975585938,271.163 / 896.1,,
"560",560,271.162350798387 / 750.299987792969,271.162 / 750.3,,
"561",561,271.204123470626 / 984.737548828125,271.204 / 984.7,,
"562",562,272.093333107777 / 86.7000045776367,272.093 / 86.7,,
"563",563,272.108349607843 / 766.799987792969,272.108 / 766.8,272.108 / 766.8,
"564",564,272.183746268328 / 699.900024414062,272.184 / 699.9,272.184 / 699.9,[M+H]+
"565",565,272.183674104995 / 778.800048828125,272.184 / 778.8,,
"566",566,273.125266222307 / 196.800003051758,273.125 / 196.8,,
"567",567,273.187125203954 / 699.900024414062,273.187 / 699.9,273.187 / 699.9,
"568",568,273.219737262681 / 1180.49987792969,273.22 / 1180.5,,
"569",569,274.103116833493 / 73.1999969482422,274.103 / 73.2,,
"570",570,274.117653976481 / 225.300003051758,274.118 / 225.3,,
"571",571,274.13007131237 / 196.800003051758,274.13 / 196.8,,
"572",572,274.182259831166 / 1151.09997558594,274.182 / 1151.1,,
"573",573,274.182015972599 / 1171.50012207031,274.182 / 1171.5,,
"574",574,274.199832412123 / 822.599975585938,274.2 / 822.6,,
"575",575,275.104439360564 / 602.700012207031,275.104 / 602.7,,
"576",576,275.12243997991 / 197.099990844727,275.122 / 197.1,,
"577",577,275.157812791785 / 454.5,275.158 / 454.5,,
"578",578,275.184400207248 / 1150.84002685547,275.184 / 1150.8,,
"579",579,276.124335005937 / 630.299987792969,276.124 / 630.3,,
"580",580,276.124578927018 / 649.200012207031,276.125 / 649.2,,
"581",581,276.142365311453 / 83.6999969482422,276.142 / 83.7,,
"582",582,276.142271617701 / 123.527900695801,276.142 / 123.5,,
"583",583,276.179304273973 / 280.309936523438,276.179 / 280.3,,
"584",584,276.197239494209 / 1239.89990234375,276.197 / 1239.9,,
"585",585,277.084225714976 / 73.5,277.084 / 73.5,,
"586",586,277.145894443258 / 123.599998474121,277.146 / 123.6,,
"587",587,277.146999156406 / 83.6999969482422,277.147 / 83.7,,
"588",588,278.140027030726 / 682.5,278.14 / 682.5,,
"589",589,279.091912010016 / 1209.30004882812,279.092 / 1209.3,,
"590",590,279.157261462645 / 1714.5,279.157 / 1714.5,,
"591",591,279.138776128731 / 618.599975585938,279.139 / 618.6,,
"592",592,279.157250753765 / 928.5,279.157 / 928.5,,
"593",593,279.140680832646 / 690,279.141 / 690,,
"594",594,279.157082712667 / 30.8999996185303,279.157 / 30.9,,
"595",595,279.156840632579 / 25.3500003814697,279.157 / 25.4,,
"596",596,279.682553938776 / 514.5,279.683 / 514.5,,
"597",597,280.110144086547 / 290.700012207031,280.11 / 290.7,280.11 / 290.7,[M+Na]+
"598",598,280.160482769624 / 1714.8,280.16 / 1714.8,,
"599",599,280.187826561479 / 531,280.188 / 531,,
"600",600,280.261024351297 / 1820.40002441406,280.261 / 1820.4,,
"601",601,280.991785323333 / 39.5999984741211,280.992 / 39.6,,
"602",602,281.097488997793 / 520.200012207031,281.097 / 520.2,,
"603",603,281.111416899387 / 167.699996948242,281.111 / 167.7,281.111 / 167.7,[M+H]+
"604",604,281.11156346844 / 240.600006103516,281.112 / 240.6,,
"605",605,281.11165322269 / 350.846878051758,281.112 / 350.8,,
"606",606,281.111523087593 / 418.799987792969,281.112 / 418.8,,
"607",607,281.111984399263 / 618.900024414062,281.112 / 618.9,,
"608",608,281.112191271005 / 290.700012207031,281.112 / 290.7,281.112 / 290.7,
"609",609,281.148176031957 / 848.699951171875,281.148 / 848.7,,
"610",610,282.117454734296 / 60.9000015258789,282.117 / 60.9,,
"611",611,282.114270752573 / 167.686279296875,282.114 / 167.7,282.114 / 167.7,
"612",612,282.113960758703 / 240.299987792969,282.114 / 240.3,,
"613",613,282.277006311286 / 1903.02331542969,282.277 / 1903,,
"614",614,283.102440972467 / 110.399993896484,283.102 / 110.4,,
"615",615,283.113038413442 / 662.253479003906,283.113 / 662.3,,
"616",616,283.12670424715 / 685.5,283.127 / 685.5,,
"617",617,283.121642529556 / 60.6000022888184,283.122 / 60.6,,
"618",618,283.159549144419 / 114.899993896484,283.16 / 114.9,,
"619",619,283.280762471243 / 1903.19995117188,283.281 / 1903.2,,
"620",620,284.060380252978 / 272.700012207031,284.06 / 272.7,,
"621",621,284.10454795312 / 110.100006103516,284.105 / 110.1,284.105 / 110.1,
"622",622,284.18414373548 / 497.099975585938,284.184 / 497.1,,
"623",623,284.183994291572 / 774,284.184 / 774,,
"624",624,284.231108878415 / 210,284.231 / 210,284.231 / 210,
"625",625,285.081805439636 / 93.2999954223633,285.082 / 93.3,,
"626",626,285.131773567256 / 816,285.132 / 816,,
"627",627,285.132230081675 / 907.500030517578,285.132 / 907.5,285.132 / 907.5,[M+H]+
"628",628,285.179524817629 / 980.400024414062,285.18 / 980.4,,
"629",629,285.255287849844 / 1241.69995117188,285.255 / 1241.7,,
"630",630,286.101856352292 / 133.800003051758,286.102 / 133.8,286.102 / 133.8,[M+H]+
"631",631,286.126637570047 / 91.1999969482422,286.127 / 91.2,286.127 / 91.2,[M+H]+
"632",632,286.199552919459 / 871.200012207031,286.2 / 871.2,286.2 / 871.2,[M+H]+
"633",633,287.104354244833 / 133.800003051758,287.104 / 133.8,287.104 / 133.8,
"634",634,287.099280888625 / 504.600006103516,287.099 / 504.6,287.099 / 504.6,[M+H-O]+
"635",635,287.099228998894 / 513.149963378906,287.099 / 513.1,,
"636",636,287.130049665205 / 91.1999969482422,287.13 / 91.2,287.13 / 91.2,
"637",637,287.20245056647 / 871.200012207031,287.202 / 871.2,287.202 / 871.2,
"638",638,287.199056323256 / 1028.85266113281,287.199 / 1028.9,,
"639",639,288.117787068064 / 71.8135719299316,288.118 / 71.8,,
"640",640,288.124173862924 / 143.100006103516,288.124 / 143.1,,
"641",641,288.142166174938 / 104.400001525879,288.142 / 104.4,,
"642",642,288.148692588123 / 635.099975585938,288.149 / 635.1,,
"643",643,288.21511254735 / 999.299987792969,288.215 / 999.3,,
"644",644,288.21516711402 / 911.700012207031,288.215 / 911.7,,
"645",645,288.215040186513 / 917.399963378906,288.215 / 917.4,288.215 / 917.4,[M+H-COCH2]+
"646",646,289.137632308236 / 567.600036621094,289.138 / 567.6,,
"647",647,290.133439391957 / 102.644969940186,290.133 / 102.6,290.133 / 102.6,[M+H]+
"648",648,290.157591457481 / 152.099990844727,290.158 / 152.1,290.158 / 152.1,[M+H]+
"649",649,290.157609876075 / 180.000015258789,290.158 / 180,,
